// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 07782A2B
//  ProductCode: MTi-G-710-2A8G4
//  Firmware Version: 1.16.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.19)
//  Option Flags: Beidou Enabled, Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
64808	3289783	2025	11	27	34332.2280	0.141294	-0.141208	9.831365	0.005300	-0.002680	-0.000619	-0.778529	-0.798736	-102.349358
64809	3289833	2025	11	27	34332.2330	0.148121	-0.137304	9.824001	-0.007202	0.002124	-0.002846	-0.779779	-0.797717	-102.349892
64810	3289883	2025	11	27	34332.2380	0.145254	-0.135266	9.844239	-0.001191	-0.000104	0.000635	-0.779321	-0.797323	-102.349518
64811	3289933	2025	11	27	34332.2430	0.149373	-0.136673	9.826836	-0.002448	-0.000545	-0.001115	-0.779216	-0.797062	-102.349678
64812	3289983	2025	11	27	34332.2480	0.139739	-0.145784	9.834188	-0.002412	-0.003329	-0.003704	-0.779090	-0.797609	-102.350540
64813	3290033	2025	11	27	34332.2530	0.143787	-0.131865	9.837588	-0.002836	0.001065	-0.001798	-0.779093	-0.796889	-102.350906
64814	3290083	2025	11	27	34332.2580	0.146642	-0.125400	9.821503	0.001039	-0.002284	0.001569	-0.778000	-0.797115	-102.350266
64815	3290133	2025	11	27	34332.2630	0.143110	-0.139494	9.826826	-0.003678	0.001155	0.000884	-0.778255	-0.796359	-102.350288
64816	3290183	2025	11	27	34332.2680	0.147315	-0.145779	9.822780	-0.005367	0.000438	0.000905	-0.778995	-0.795809	-102.349846
64817	3290233	2025	11	27	34332.2730	0.147283	-0.138777	9.823476	-0.003251	-0.000741	-0.000313	-0.779123	-0.795600	-102.350182
64818	3290283	2025	11	27	34332.2780	0.130824	-0.141679	9.831522	-0.005038	-0.004357	0.000618	-0.779767	-0.796425	-102.349815
64819	3290333	2025	11	27	34332.2830	0.131351	-0.136769	9.830862	-0.003421	-0.002398	-0.000764	-0.779942	-0.796693	-102.349541
64820	3290383	2025	11	27	34332.2880	0.136832	-0.138768	9.828840	-0.000495	0.001654	0.002651	-0.779293	-0.795788	-102.348595
64821	3290433	2025	11	27	34332.2930	0.146626	-0.124786	9.823520	-0.003169	-0.001349	-0.001700	-0.779392	-0.795759	-102.348572
64822	3290483	2025	11	27	34332.2980	0.159083	-0.138692	9.828171	-0.002418	-0.000077	0.001187	-0.779288	-0.795355	-102.348045
64823	3290533	2025	11	27	34332.3030	0.134164	-0.141010	9.833537	-0.006661	-0.001423	-0.002602	-0.780384	-0.795352	-102.348366
64824	3290583	2025	11	27	34332.3080	0.149312	-0.136656	9.822809	-0.001895	0.002122	-0.001014	-0.780121	-0.794326	-102.348473
64825	3290633	2025	11	27	34332.3130	0.140320	-0.147207	9.832172	-0.003353	-0.000431	-0.002094	-0.780271	-0.794036	-102.349014
64826	3290683	2025	11	27	34332.3180	0.148010	-0.137347	9.834883	-0.001232	0.001007	-0.000262	-0.779821	-0.793327	-102.348923
64827	3290733	2025	11	27	34332.3230	0.143943	-0.151478	9.832154	-0.006336	-0.005770	-0.001143	-0.780830	-0.794563	-102.348816
64828	3290783	2025	11	27	34332.3280	0.140470	-0.140892	9.835544	-0.003037	-0.002402	-0.002445	-0.780888	-0.794840	-102.349304
64829	3290833	2025	11	27	34332.3330	0.143129	-0.140202	9.832191	-0.004495	0.000628	-0.001454	-0.781369	-0.794244	-102.349281
64830	3290883	2025	11	27	34332.3380	0.134785	-0.134009	9.826180	-0.005889	0.000203	0.001868	-0.782261	-0.793757	-102.348549
64831	3290933	2025	11	27	34332.3430	0.137597	-0.147139	9.830828	-0.001062	-0.000013	0.002974	-0.781775	-0.793328	-102.347466
64832	3290983	2025	11	27	34332.3480	0.125071	-0.139561	9.826827	-0.003865	-0.001933	-0.000285	-0.782079	-0.793461	-102.347343
64833	3291033	2025	11	27	34332.3530	0.145159	-0.152067	9.828119	-0.004905	0.002629	-0.001073	-0.782678	-0.792290	-102.347458
64834	3291083	2025	11	27	34332.3580	0.133473	-0.149195	9.824118	-0.001530	-0.000553	-0.002662	-0.782304	-0.792038	-102.348022
64835	3291133	2025	11	27	34332.3630	0.125169	-0.152070	9.832159	-0.002498	-0.001795	-0.001502	-0.782212	-0.792136	-102.348061
64836	3291183	2025	11	27	34332.3680	0.154933	-0.157559	9.829448	-0.002300	0.000918	-0.000045	-0.782069	-0.791452	-102.347893
64837	3291233	2025	11	27	34332.3730	0.129919	-0.130334	9.830211	0.001817	0.000968	0.004225	-0.780764	-0.790736	-102.346588
64838	3291283	2025	11	27	34332.3780	0.137601	-0.151253	9.828133	-0.000152	-0.000350	0.000488	-0.780007	-0.790413	-102.346260
64839	3291333	2025	11	27	34332.3830	0.138376	-0.139397	9.828171	-0.000097	-0.005684	-0.001673	-0.779227	-0.791627	-102.346848
64840	3291383	2025	11	27	34332.3880	0.143818	-0.139463	9.826164	-0.003164	-0.001076	-0.000955	-0.779327	-0.791517	-102.346947
64841	3291433	2025	11	27	34332.3930	0.137584	-0.138648	9.811399	0.000788	0.000297	0.000626	-0.778302	-0.791007	-102.347168
64842	3291483	2025	11	27	34332.3980	0.136940	-0.158232	9.806643	-0.001916	-0.001865	0.001187	-0.778054	-0.791115	-102.346634
64843	3291533	2025	11	27	34332.4030	0.154865	-0.152681	9.832814	-0.002192	0.001277	0.001020	-0.777884	-0.790324	-102.346390
64844	3291583	2025	11	27	34332.4080	0.152885	-0.143004	9.828823	-0.003645	-0.002605	0.000692	-0.778129	-0.790646	-102.345985
64845	3291633	2025	11	27	34332.4130	0.137581	-0.144392	9.836205	-0.003127	-0.000180	0.002085	-0.780607	-0.791044	-102.345169
64846	3291683	2025	11	27	34332.4180	0.135515	-0.144340	9.828827	-0.000278	-0.000259	0.002395	-0.779895	-0.790687	-102.344276
